the_geom,POINT_X,ID,NAME,POINT_Y,GIS_EDT_DT,LATITUDE,LONGITUDE,PMAID,LOCID,AMWO_ID,RES1,RES2
POINT (-122.27607708722886 47.56394842976354),1284243.46098895,6,Genesee Park & Playfield,209050.1970114,11/30/1899 12:00:00 AM +0000,47.56394843,-122.27607709,409,,,,
POINT (-122.3417190733906 47.52578301602443),1267767.4664776,4,Westcrest Park,195442.18407072,11/30/1899 12:00:00 AM +0000,47.52578302,-122.34171907,468,,,,
POINT (-122.40063704832835 47.69090201183059),1254440.21436919,1,Golden Gardens Park,255950.24505508,11/30/1899 12:00:00 AM +0000,47.69090201,-122.40063705,243,,,,
POINT (-122.25709542800696 47.682703655279326),1289730.33485006,3,Magnuson Park,252273.30373965,11/30/1899 12:00:00 AM +0000,47.68270366,-122.25709543,398,,,,
POINT (-122.39198161916639 47.651552429619265),1256280.78793891,12,Magnolia Manor Park,241556.51217768,11/30/1899 12:00:00 AM +0000,47.65155243,-122.39198162,747,,,,
POINT (-122.34430858920948 47.670424398044176),1268163.63646197,2,Woodland Park,248204.70738386,11/30/1899 12:00:00 AM +0000,47.6704244,-122.34430859,292,,,,
POINT (-122.29863271825674 47.58888932031843),1278848.98482393,5,I-90 Lid (Blue Dog Pond),218251.32021996,11/30/1899 12:00:00 AM +0000,47.58888932,-122.29863272,4418,,,,
POINT (-122.34108220525911 47.619373439792426),1268593.59102237,13,Denny Park,229571.06077451,11/30/1899 12:00:00 AM +0000,47.61937344,-122.34108221,309,,,,
POINT (-122.32375826385258 47.6348305549937),1272974.46693045,11,I-5 Colonnade,235125.00189968,11/30/1899 12:00:00 AM +0000,47.63483056,-122.32375826,4446,,,,
POINT (-122.3676602952145 47.626957282116855),1262095.22992831,14,Kinnear Park,232466.3796892,11/30/1899 12:00:00 AM +0000,47.62695728,-122.3676603,314,,,,
POINT (-122.32612424565166 47.721775107212935),1273006.39422648,8,Northacres Park,266844.75936922,11/30/1899 12:00:00 AM +0000,47.72177511,-122.32612425,361,,,,
POINT (-122.34477643567304 47.614345751518506),1267646.66455749,9,Regrade Park,227755.35939682,11/30/1899 12:00:00 AM +0000,47.61434575,-122.34477644,336,,,,
POINT (-122.31809393763413 47.5938590938291),1274082.42673948,7,Dr. Jose Rizal Park,220155.82492574,11/30/1899 12:00:00 AM +0000,47.59385909,-122.31809394,433,,,,
POINT (-122.32895080049283 47.61433762418319),1271549.21854512,10,Plymouth Pillars Park,227676.13891675,11/30/1899 12:00:00 AM +0000,47.61433762,-122.3289508,4000,,,,
